timestamp,building_id,zone_id,zone_type,flammability,temperature,humidity,smoke_index,electrical_load,occupancy,wind_speed,scenario,risk_score,risk_level,fire_hazard_label
2026-01-01T08:29:33Z,building_a,bldg_a_exit_b,exit,1.0,38.22,40.64,14.32,129.62,1,8.6,electrical_overload,31.35,MEDIUM,0
2026-01-01T08:44:13Z,building_c,bldg_c_exit_b,exit,1.0,20.18,46.52,0.96,42.13,0,7.3,normal,2.97,LOW,0
2026-01-01T08:45:59Z,building_c,bldg_c_kitchen,kitchen,4.7,31.16,12.1,1.6,51.49,4,6.4,dry_conditions,30.02,MEDIUM,0
2026-01-01T09:26:34Z,building_b,bldg_b_corridor,corridor,1.5,34.18,15.73,4.93,62.29,14,4.9,hot_weather,26.11,LOW,0
2026-01-01T09:37:41Z,building_b,bldg_b_server,server_room,4.6,22.34,52.99,0.5,44.37,4,12.1,normal,9.03,LOW,0
2026-01-01T09:55:02Z,building_a,bldg_a_exit_b,exit,1.0,33.21,44.66,2.0,123.92,0,11.9,electrical_overload,20.86,LOW,0
2026-01-01T10:01:10Z,building_c,bldg_c_exit_a,exit,1.0,31.21,23.17,2.42,79.36,1,1.9,hot_weather,19.27,LOW,0
2026-01-01T10:01:12Z,building_b,bldg_b_corridor,corridor,1.5,20.88,56.8,0.95,13.94,14,7.3,normal,0.92,LOW,0
2026-01-01T10:09:52Z,building_b,bldg_b_corridor,corridor,1.5,19.43,54.67,0.03,26.5,16,5.1,normal,0.46,LOW,0
2026-01-01T10:31:43Z,building_a,bldg_a_corridor,corridor,1.8,32.91,25.76,54.71,55.68,4,5.5,smoke_increase,36.56,MEDIUM,0
2026-01-01T10:43:08Z,building_b,bldg_b_server,server_room,4.6,23.44,50.47,0.92,33.98,2,7.9,normal,10.92,LOW,0
2026-01-01T11:07:04Z,building_a,bldg_a_lab2,lab,3.5,43.73,42.87,21.48,119.71,5,12.9,electrical_overload,40.99,MEDIUM,0
2026-01-01T11:15:42Z,building_a,bldg_a_lab1,lab,4.2,23.85,49.46,1.74,21.46,10,2.4,normal,11.13,LOW,0
2026-01-01T11:31:48Z,building_b,bldg_b_storage,storage,4.1,31.1,18.03,1.7,67.66,1,4.2,hot_weather,26.8,LOW,0
2026-01-01T11:40:29Z,building_a,bldg_a_exit_a,exit,1.0,36.59,25.16,65.79,72.87,1,3.8,smoke_increase,45.34,MEDIUM,0
2026-01-01T12:37:05Z,building_a,bldg_a_lab1,lab,4.2,22.99,61.67,0.01,32.82,11,4.4,normal,11.31,LOW,0
2026-01-01T12:59:03Z,building_a,bldg_a_elec,electrical,4.8,39.48,24.33,0.16,58.49,0,17.6,hot_weather,31.47,MEDIUM,0
