region,latitude,longitude,temperature,oxygen_level,humidity,wind_speed,pressure,rainfall,ffmc,dmc,dc,isi,bui,fwi,historical_frequency,risk_score,risk_category,fire_occurrence
Cascades Valley,45.6298,-121.8535,30.22,21.08,44.67,7.41,1003.61,0.0,89.4,118.5,583.4,25.8,150.0,80.0,0.18,58.0,MEDIUM,0
High Desert Plateau,34.6882,-117.2833,23.55,19.41,57.74,11.87,1034.5,5.49,54.8,41.8,112.0,5.25,43.2,3.65,0.28,0.0,LOW,0
Sierra Foothills,37.9683,-120.8921,29.31,21.11,79.82,17.37,989.44,1.22,71.6,21.3,319.3,14.3,36.6,7.64,0.48,30.1,MEDIUM,0
High Desert Plateau,34.4472,-117.4055,22.76,21.48,32.74,7.59,1031.64,1.07,83.3,88.7,416.0,19.08,115.7,39.0,0.28,48.9,MEDIUM,0
High Desert Plateau,34.962,-116.9523,25.97,19.32,62.54,7.61,1006.93,0.0,80.5,40.3,261.8,16.57,58.2,15.26,0.28,31.3,MEDIUM,0
Pacific Coast Ridge,38.262,-122.1024,25.29,21.84,39.91,11.92,1042.97,0.0,85.5,26.8,387.5,24.66,45.7,26.89,0.35,56.6,MEDIUM,0
Sierra Foothills,38.5439,-120.938,33.88,21.67,72.65,8.67,1003.35,2.13,69.2,15.4,442.8,9.73,28.4,3.76,0.48,13.7,LOW,0
Sierra Foothills,38.4871,-121.1023,31.97,19.26,60.23,14.34,1003.59,0.0,84.5,66.4,287.8,25.24,84.2,52.55,0.48,69.6,HIGH,1
Sierra Foothills,38.2651,-121.1366,37.38,20.98,33.84,11.61,1020.05,0.29,99.5,47.7,310.6,40.0,69.0,80.0,0.48,71.0,HIGH,1
High Desert Plateau,34.6013,-117.4114,13.31,20.33,63.06,1.41,1010.24,0.0,70.0,11.6,172.8,7.59,19.8,2.11,0.28,5.0,LOW,0
Cascades Valley,45.6019,-121.5548,9.5,20.95,63.97,8.09,1010.57,0.0,60.9,26.8,247.1,6.29,42.1,3.95,0.18,16.7,LOW,0
Sierra Foothills,38.5476,-120.9949,34.29,19.78,78.49,10.14,1042.71,0.0,78.0,82.4,715.0,15.98,127.9,31.63,0.48,50.9,MEDIUM,0
High Desert Plateau,34.7538,-117.493,35.73,21.7,35.04,4.49,985.61,0.0,97.5,44.1,46.7,34.63,26.2,41.86,0.28,67.7,HIGH,1
